Thalion: 10
Billy Mitchell: 15
Benzaie Live: 0
Rick: 5
Billy Mitchell: 55
null: 20
Billy Mitchell: 30
Legolas: 15
Batman: 15
Billy Mitchell: 70
Robin: 75
Higgs: 5
Leroy Jenkins: 999
Billy Mitchell: 10
